"package","dataset","train_set_imputation_time","test_set_imputation_time"
"basic_(median/mode)","adult","0.097999999999999","0.0299999999999994"
"basic_(median/mode)","eucalyptus","0.00499999999999545","0.00399999999999778"
"basic_(median/mode)","dresses-sales","0.00500000000000256","0.00400000000000489"
"basic_(median/mode)","credit-approval","0.00500000000000256","0.00399999999999778"
"basic_(median/mode)","sick","0.0289999999999964","0.0129999999999981"
"basic_(median/mode)","SpeedDating","0.0870000000000033","0.0429999999999993"
"basic_(median/mode)","cylinder-bands","0.0100000000000051","0.0069999999999979"
"mice","adult","5.28100000000001","0.707000000000008"
"mice","eucalyptus","0.0939999999999941","0.0589999999999975"
"mice","dresses-sales","0.344999999999999","0.176000000000002"
"mice","credit-approval","0.0760000000000076","0.102000000000004"
"mice","sick","0.231999999999999","0.109999999999999"
"mice","SpeedDating","169.971","48.04"
"mice","cylinder-bands","1540.894","107.896"
"VIM_knn","adult","113.919","7.51299999999992"
"VIM_knn","eucalyptus","0.307999999999993","0.104000000000269"
"VIM_knn","dresses-sales","0.499000000000251","0.116999999999734"
"VIM_knn","credit-approval","0.114999999999782","0.05600000000004"
"VIM_knn","sick","6.76399999999967","0.644999999999982"
"VIM_knn","SpeedDating","305.139","21.1979999999999"
"VIM_knn","cylinder-bands","0.899000000000342","0.36200000000008"
"VIM_hotdeck","adult","0.0850000000000364","0.0349999999998545"
"VIM_hotdeck","eucalyptus","0.0309999999999491","0.0270000000000437"
"VIM_hotdeck","dresses-sales","0.0410000000001673","0.0259999999998399"
"VIM_hotdeck","credit-approval","0.0329999999999018","0.0259999999998399"
"VIM_hotdeck","sick","0.0579999999999927","0.0459999999998217"
"VIM_hotdeck","SpeedDating","0.614000000000033","0.3449999999998"
"VIM_hotdeck","cylinder-bands","0.0729999999998654","0.0619999999998981"
"missRanger","adult","28.9229999999998","4.6880000000001"
"missRanger","eucalyptus","0.601000000000113","0.208000000000084"
"missRanger","dresses-sales","0.492000000000189","0.15099999999984"
"missRanger","credit-approval","0.548000000000229","0.209000000000287"
"missRanger","sick","1.78699999999981","0.454999999999927"
"missRanger","SpeedDating","84.5369999999998","19.2719999999999"
"missRanger","cylinder-bands","1.23999999999978","0.478000000000065"
